location_id,Category,name,also_known_as,week_days_opentime,weekdays_close_time,Saturday_open_time,saturday_close_time,sunday_holidays_open_time,Sunday_holidays_close_time,opening_hours_note,id_access_needed,additional_access_notes,campus,latitude,longitude,location_description,thumbnails_image,uoa_map_link
11,Teaching building,Meston Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,Id access needed after 6:00 PM,Old Aberdeen,57.165189,-2.104477,"One of the largest buildings on campus, the Meston Building stands near the Sir Duncan Rice Library with entrances on the Library plaza and on Meston Walk. With its large lecture theatres it is frequently used by science students. Opened in 1952 as the Chemistry Building by Nobel laureate Sir Robert Robinson, it was later renamed in memory of Baron Meston, Chancellor of the University 1928-1944.",images/locations/thumbnail_images/meston_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/30/
12,Teaching building,Fraser Noble Building,,9 am,22:00:00,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.165873,-2.104601,"The Fraser Noble Building sits on the Library plaza opposite the Meston Building and houses the School of Engineering and the Department of Mathematics. Built in 1963 for Natural Philosophy and opened by Nobel laureate Sir G. P. Thomson, it was refurbished and renamed in 1988 after Sir Fraser Noble, Principal 1976-1981.",images/locations/thumbnail_images/fraser_noble_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/43/
13,Research / Laboratories,Cruickshank Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,YES,,Old Aberdeen,57.167984,-2.103557,"The Cruickshank Building houses staff from the School of Biological Sciences and is located off St Machar Drive within the Cruickshank Botanic Garden. The refurbished building contains molecular biology, microbiology and environmental physiology laboratories, with controlled-environment growth chambers and glasshouses nearby.",images\locations\thumbnail_images\cruickshank_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/51/
14,Teaching building,Zoology Building,,10:00 am,16:00:00,,closed,closed,closed,Open to the public. ,NO,,Old Aberdeen,57.167787,-2.106355,"Opened in 1970, the Zoology Building stands over St Machar Drive next to the Cruickshank Botanic Garden and opposite the Science Teaching Hub, with its main entrance on Tillydrone Avenue. Built in a Brutalist style echoing Marischal College, it houses the School of Biological Sciences and the University's Zoology Museum.",images\locations\thumbnail_images\Zoology_Building_Museum.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/52/
15,Teaching building,Edward Wright Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,YES,,Old Aberdeen,57.16634,-2.100764,"The Edward Wright Building opened in 1975 and houses Social Science departments and the University's IT Services, including five computer rooms for student use. The building has multiple blocks and entrances, the main computer-room entrance being up the small hill behind the Taylor Building bridge. It is named after Edward Maitland Wright, Professor of Mathematics and Principal 1962-1976.",images\locations\thumbnail_images\edward_wright_block_a_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/41/
16,Teaching building,St. Mary's Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.166255,-2.103265,"Originally a church on the High Street, the St Mary's Building was extended in 1969 and again in 1980, with its main entrance now on Elphinstone Road near the Students' Union. It contains the Archaeology, Geography and Land Economy departments, along with lecture theatres, several student computer rooms, and the Arkleton Centre for Rural Development Research.",images/locations/thumbnail_images/st_marys_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/47/
17,Teaching building,Regent Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.164827,-2.099848,"The Regent Building stands on Regent Walk between the University Office and the Taylor Building. Originally built for the Language Centre and the University Television Service, its former TV studio is now the Regent Lecture Theatre, and it also houses the Online Education team.",images/locations/thumbnail_images/regent_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/49/
18,Teaching building,Crombie Annexe,,9:30 am,4:30 pm,Closed,Closed,Closed,,,NO,,Old Aberdeen,57.164109,-2.103544,"The Crombie Annexe is the home of the History Department. A three-storey building next to Crombie Hall, it is located to the south of the Meston Building off Meston Walk.",images\locations\thumbnail_images\crombie_hall.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/29/
19,Teaching building,William Guild Building,,9 am,5 pm,Closed,Closed,Closed,Closed,,NO,,Old Aberdeen,57.165938,-2.099138,"Built in 1969-70, the William Guild Building contains the Psychology department, and its main entrance also provides access to the Arts Lecture Theatre and features a seating area for relaxation. It commemorates William Guild, Principal of King's College 1639-1651.",images/locations/thumbnail_images/william_guild_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/28/
20,Conference / Events building,Science Teaching Hub,STH,10:00 am,16:00:00,Closed,Closed,Closed,,,NO,,Old Aberdeen,57.166692,-2.105515,"Opened in 2022 and built at a cost of around Â£35m, the Science Teaching Hub stands on the Old Aberdeen campus next to the Sir Duncan Rice Library and the Fraser Noble Building. Designed by Reiach and Hall Architects, it contains modern teaching laboratories for students across the sciences.",images\locations\thumbnail_images\Science_Building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/206/
21,Cultural Space,Multi-Faith Chaplaincy,The Chaplaincy,10:00 AM,4:30 PM,closed,closed,closed,closed,,NO,,Old Aberdeen,57.164663,-2.102193,"The Multi-Faith Chaplaincy on the High Street, opposite New King's, is at heart a place of pastoral care, providing welcome, support and advice to students and staff of all faiths and none. It offers a social Wellbeing Lounge, quiet space, a Muslim prayer room and quiet study space, and hosts society meetings, seminars and inter-faith events.",images\locations\thumbnail_images\multi_faith_chapilancy_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/116/
22,Conference / Events building,Old Aberdeen Town House,,,,,,,,Open for booked events only — no fixed public hours,NO,,Old Aberdeen,57.167076,-2.102259,"Old Aberdeen Town House sits at the top of the High Street at the heart of historic Old Aberdeen. A landmark civic building, it provides meeting and function space for the University and community.",images/locations/thumbnail_images/The_Old_Town_House.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/146/
23,Gardens,Cruickshank Botanic Garden,Botanic Garden,9 am,4:30 pm,9 am,4:30 pm,9 am,4:30 pm,,NO,,Old Aberdeen,57.167843,-2.104995,"Established in 1898 on land gifted by Anne Cruickshank, the Cruickshank Botanic Garden is an 11-acre garden off St Machar Drive. Owned jointly by the University and the Cruickshank Botanic Garden Trust, it is open to the public and used extensively for teaching and research by the School of Biological Sciences.",images\locations\thumbnail_images\Botanical_Garden.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/164/
24,Gardens,Lady MacRobert Memorial Garden ,Memorial Garden Space,,,,,,,Open 24 hours,NO,,Old Aberdeen,57.1661691,-2.1013968,"As part of a memorial garden to Lady MacRobert, the granite wall has the names of her three sons that fell in service during the Second World War, along with a a mosaic that presents the family coat of arms 'Not For Themselves But For Their Native Land'. Alasdair had died in a Civil air accident in 1938.",images\locations\thumbnail_images\Lady_MacRobert_Garden.jpeg,
25,Sports Facility,Butchart  Recreation Centre,,6:30:00,22:30:00,8:30:00,17:00:00,8:30:00,17:00:00,,NO,,Old Aberdeen,57.16259,-2.100207,"The Butchart Recreation Centre is a key sports and fitness facility operated by the University of Aberdeen on University Road, just south of King's College. Originally constructed in the 1950s, it serves as an important hub for student athletics and the Aberdeen University Students' Association.",images\locations\thumbnail_images\Butchart_Centre.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/90/
26,Gardens,King's Lawn,,,,,,,,Open 24 hours,NO,,Old Aberdeen,57.1645,-2.10141,"This expansive lawn, outside Elphinstone Hall, offers a great spot to admire the Old Aberdeen’s fantastic architecture.",images\locations\thumbnail_images\Kings_College_Courtyard.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/187/
27,Support Building ,Counselling Service,5 Dunbar Street,9:00:00,16:00:00,,,,,Cosed between 1 pm and 2pm,NO,,Old Aberdeen,57.1664,-2.101351,The Counceling Service located at 5 Dunbar Street is part of Student Support Services and is open to all students of the University.,images\locations\thumbnail_images\Student_Counselling_Support.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/34/
28,Sports Facility,Aberdeen Sports Village,ASV,5:30:00,22:30:00,8:30:00,17:00:00,8:30:00,17:00:00,,NO,,Old Aberdeen,57.1627,-2.093883,"Aberdeen Sports Village is the premier sports facility in the North East of Scotland. It is open to students, staff and the public with facilities for athletics, football, swimming, hockey, squash, martial arts and boxing.",images\locations\thumbnail_images\Sports_Village.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/91/
29,Teaching building,Edward Wright Annexe,,8:30:00,18:00:00,, ,,,,NO,,Old Aberdeen,57.166476,-2.100003,The Edward Wright Annexe is an addition to the main Edward Wright building. It houses the parts of the Business School and the School of Social Science. The entrance is through the main building and through the door to the North,images\locations\thumbnail_images\Edward_right_anexxes_building.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/32/
30,Nursery,Rocking Horse Nursery,,8:00:00,5:30:00,,,,,,NO,,Old Aberdeen,57.16354,-2.105126,The Rocking Horse Nursery is situated within the grounds of Crombie Johnston Hall of Residence behind King's Hall. Student and staff parents may use the Nursery.It has facilities for 78 children from 0-5 years of age and moved to custom-built premises in 2015. The building is the first early years setting in Scotland to be built using the Passivhaus (Passive House) design.,images\locations\thumbnail_images\Nursery_School.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/37/
31,Shop,Backwells Booksellers,,9:00 AM,5:00 PM,9:00 PM,5:00 PM,12:00 PM,5:00 PM,,NO,,Old Aberdeen,57.1666253,-2.1024019,"Blackwell's Aberdeen is a charming, academic-focused bookstore located on High Street in the historic heart of Old Aberdeen. Situated within a 15th-century university quarter, it caters primarily to scholars and students, offering a specialized, relaxed environment for browsing.",images\locations\thumbnail_images\blackwells_booksellers.jpeg,
32,Cafe,J.G Ross,Craft Baker,7:00 AM,5:30 PM,,,,,,NO,,Old Aberdeen,57.1657,-2.10229,"A traditional baker and fresh food takeaway outlet, proudly serving the North East of Scotland for over 60 years.",images\locations\thumbnail_images\craft_baker.jpeg, 
33,Cafe,Kilau,,9:00 AM,6:00 PM,9:00 AM,5:00 PM,,,,NO,,Old Aberdeen,57.165674,-2.102388,"Kilau Coffee is a beloved, long-running independent café and community hub located in the heart of historic Old Aberdeen. Situated right on the University of Aberdeen campus next to the iconic King's College, it serves as a highly popular haunt for students, faculty, and local residents alike.",\images\locations\thumbnail_images\kilau cafe.jpeg,
34,cafe,Shelter cafe,,8:30 AM,5:00 PM,9:00 AM,5:00 PM,9:00 PM,5:00 PM,,NO,,Old Aberdeen,57.16705,-2.10196,"Shelter Coffee is a cosy, Scandinavian-style café situated in the historic heart of Old Aberdeen on the University of Aberdeen campus. It is highly regarded for its charming attic seating area, student-friendly prices, and picturesque views of the Mercat Cross and Old Town House.",images\locations\thumbnail_images\shelter_coffee_shop.jpeg,
35,Student Accommodation,Elphinstone Road Hall,Elphinstone Road Flats,,,,,,,Open 24 hours (Only residents access),YES,,Old Aberdeen,57.166098,-2.103562,"Located in the heart of the King's College campus, only a minute's walk from the Sir Duncan Rice Library. Usually reserved for mature undergraduate and postgraduate students. Consists of 120 single study bedrooms organised into flats of 3-7 residents with shared kitchens; includes adapted rooms for students with a disability.",,https://www.abdn.ac.uk/about/campus/maps/view/65/
36,Student Accommodation,King's Hall,,,,,,,,Open 24 hours (Only residents access),YES,,Old Aberdeen,57.163441,-2.104638,"Situated in the heart of campus, King's Hall blends modern accommodation with tranquil and historic settings. King's Hall is adjacent to Crombie Hall with all rooms having en-suite facilities.",images\locations\thumbnail_images\Kings_Hall.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/115/
37,Social building,King's Pavilion,,,,,,,,Open for booked events only — no fixed public hours,NO,,Old Aberdeen,57.163657,-2.100071,"Sports and recreation building (formally King's College Sports Pavilion) located at the rear of King's College, overlooking the University's playing fields. Contains a gym and changing facilities. The playing fields host rugby, lacrosse and cricket. Also hosts the annual WayWORD festival each September. (Note: mapped to 'Social building' as the nearest available category; primary use is sports/recreation.)",images\locations\thumbnail_images\King's_Pavilion.jpg,https://www.abdn.ac.uk/about/campus/maps/view/100/
38,Student Services,University Offices,,9:00 AM,5:00 PM,Closed,Closed,,,"Sundays - Closed 
Holidays : Open on regular time during the week (9 am to 5 pm)",NO,,Old Aberdeen,57.165002,-2.099197,The University Office is located on Regent Walk by the campus's main King Street entrance. It contains the University's main reception and almost all of the University's central administration sections.,,https://www.abdn.ac.uk/about/campus/maps/view/24/
39,Student Services,Security Office,,,,,,,,"Open 24 hours (staffed 24 hours a day, 365 days a year)",NO,,Old Aberdeen,57.166943,-2.101326,"Located at the top of Dunbar Street off St Machar Drive (9A Dunbar Street, AB24 3UD). The central point for security operations on the Old Aberdeen campus, staffed 24 hours a day, 365 days a year. The building also contains the University's central mail room.",,https://www.abdn.ac.uk/about/campus/maps/view/20/
40,Teaching building,Crombie Halls,,9:30 am,4:30 pm,Closed,Closed,Closed,,,NO,,Old Aberdeen,57.163703,-2.103842,"Set in the heart of Old Aberdeen, Crombie Johnston is close to most of the University's academic departments, sports facilities and The Sir Duncan Rice Library.",images\locations\thumbnail_images\crombie_hall.jpeg,https://www.abdn.ac.uk/about/campus/maps/view/84/
