location_id,facility_id,status,notes
19,1,FALSE,No microwave is available in this space.
19,2,TRUE,Toilet facilities are available nearby or within this space.
19,3,TRUE,An accessible toilet is available for wheelchair users.
19,4,TRUE,The space has wheelchair-accessible access from outside the building.
19,5,TRUE,Step-free access is available throughout the space.
19,6,TRUE,Accessible parking spaces are available nearby.
19,7,TRUE,Seating is available for users within this space.
19,8,TRUE,Power sockets are available for charging electronic devices.
20,1,FALSE,Food and drink facilities are not available in this space.
20,2,FALSE,No kettle is provided in this space.
20,3,FALSE,No microwave is available in this space.
20,4,TRUE,Toilet facilities are available nearby or within this space.
20,5,TRUE,An accessible toilet is available for wheelchair users.
20,6,TRUE,The space has wheelchair-accessible access from outside the building.
20,7,TRUE,Step-free access is available throughout the space.
20,8,TRUE,Accessible parking spaces are available nearby.
21,1,TRUE,Seating is available for users within this space.
21,2,TRUE,Power sockets are available for charging electronic devices.
21,3,FALSE,Food and drink facilities are not available in this space.
21,4,FALSE,No kettle is provided in this space.
21,5,FALSE,No microwave is available in this space.
21,6,TRUE,Toilet facilities are available nearby or within this space.
21,7,TRUE,An accessible toilet is available for wheelchair users.
21,8,TRUE,The space has wheelchair-accessible access from outside the building.
22,1,FALSE,Step-free access is not available throughout the space.
22,2,TRUE,Accessible parking spaces are available nearby.
22,3,TRUE,Seating is available for users within this space.
22,4,TRUE,Power sockets are available for charging electronic devices.
22,5,FALSE,Food and drink facilities are not available in this space.
22,6,FALSE,No kettle is provided in this space.
22,7,FALSE,No microwave is available in this space.
22,8,TRUE,Toilet facilities are available nearby or within this space.
23,1,TRUE,An accessible toilet is available for wheelchair users.
23,2,TRUE,The space has wheelchair-accessible access from outside the building.
23,3,TRUE,Step-free access is available throughout the space.
23,4,TRUE,Accessible parking spaces are available nearby.
23,5,TRUE,Seating is available for users within this space.
23,6,TRUE,Power sockets are available for charging electronic devices.
23,7,TRUE,Food and drink are permitted or available in this space.
23,8,FALSE,No kettle is provided in this space.
24,1,FALSE,No microwave is available in this space.
24,2,TRUE,Toilet facilities are available nearby or within this space.
24,3,TRUE,An accessible toilet is available for wheelchair users.
24,4,TRUE,The space has wheelchair-accessible access from outside the building.
24,5,TRUE,Step-free access is available throughout the space.
24,6,TRUE,Accessible parking spaces are available nearby.
24,7,TRUE,Seating is available for users within this space.
24,8,TRUE,Power sockets are available for charging electronic devices.
25,1,TRUE,Food and drink are permitted or available in this space.
25,2,FALSE,No kettle is provided in this space.
25,3,FALSE,No microwave is available in this space.
25,4,TRUE,Toilet facilities are available nearby or within this space.
25,5,TRUE,An accessible toilet is available for wheelchair users.
25,6,TRUE,The space has wheelchair-accessible access from outside the building.
25,7,TRUE,Step-free access is available throughout the space.
25,8,FALSE,No accessible parking is available nearby.
26,1,TRUE,Food and drink are permitted or available in this space.
26,2,FALSE,No kettle is provided in this space.
26,3,FALSE,No microwave is available in this space.
26,4,FALSE,No Toilet facilities are available nearby or within this space.
26,5,FALSE,No accessible toilet is available for wheelchair users.
26,6,FALSE,The space hasn’t  wheelchair-accessible access from outside the garden.
26,7,FALSE,No Step-free access is available throughout the space.
26,8,FALSE,No accessible parking is available nearby.
