space_id,facility_id,status,notes
14,7,TRUE,An accessible toilet is available for wheelchair users.
14,8,TRUE,The space has wheelchair-accessible access from outside the building.
14,9,FALSE,Step-free access is not available throughout the space.
14,10,TRUE,Accessible parking spaces are available nearby.
15,1,TRUE,Seating is available for users within this space.
15,2,TRUE,Power sockets are available for charging electronic devices.
15,3,FALSE,Food and drink facilities are not available in this space.
15,4,FALSE,No kettle is provided in this space.
15,5,FALSE,No microwave is available in this space.
15,6,TRUE,Toilet facilities are available nearby or within this space.
15,7,TRUE,An accessible toilet is available for wheelchair users.
15,8,TRUE,The space has wheelchair-accessible access from outside the building.
15,9,TRUE,Step-free access is available throughout the space.
15,10,TRUE,Accessible parking spaces are available nearby.
16,1,TRUE,Seating is available for users within this space.
16,2,TRUE,Power sockets are available for charging electronic devices.
16,3,FALSE,Food and drink facilities are not available in this space.
16,4,FALSE,No kettle is provided in this space.
16,5,FALSE,No microwave is available in this space.
16,6,TRUE,Toilet facilities are available nearby or within this space.
16,7,TRUE,An accessible toilet is available for wheelchair users.
16,8,TRUE,The space has wheelchair-accessible access from outside the building.
16,9,TRUE,Step-free access is available throughout the space.
16,10,TRUE,Accessible parking spaces are available nearby.
17,1,TRUE,Seating is available for users within this space.
17,2,TRUE,Power sockets are available for charging electronic devices.
17,3,FALSE,Food and drink facilities are not available in this space.
17,4,FALSE,No kettle is provided in this space.
17,5,FALSE,No microwave is available in this space.
17,6,TRUE,Toilet facilities are available nearby or within this space.
17,7,TRUE,An accessible toilet is available for wheelchair users.
17,8,TRUE,The space has wheelchair-accessible access from outside the building.
17,9,FALSE,Step-free access is not available throughout the space.
17,10,TRUE,Accessible parking spaces are available nearby.
18,1,TRUE,Seating is available for users within this space.
18,2,TRUE,Power sockets are available for charging electronic devices.
18,3,FALSE,Food and drink facilities are not available in this space.
18,4,FALSE,No kettle is provided in this space.
18,5,FALSE,No microwave is available in this space.
18,6,TRUE,Toilet facilities are available nearby or within this space.
18,7,TRUE,An accessible toilet is available for wheelchair users.
18,8,TRUE,The space has wheelchair-accessible access from outside the building.
18,9,TRUE,Step-free access is available throughout the space.
18,10,TRUE,Accessible parking spaces are available nearby.
19,1,TRUE,Seating is available for users within this space.
19,2,TRUE,Power sockets are available for charging electronic devices.
19,3,TRUE,Food and drink are permitted or available in this space.
19,4,FALSE,No kettle is provided in this space.
19,5,FALSE,No microwave is available in this space.
19,6,TRUE,Toilet facilities are available nearby or within this space.
19,7,TRUE,An accessible toilet is available for wheelchair users.
19,8,TRUE,The space has wheelchair-accessible access from outside the building.
19,9,TRUE,Step-free access is available throughout the space.
19,10,TRUE,Accessible parking spaces are available nearby.
20,1,TRUE,Seating is available for users within this space.
20,2,TRUE,Power sockets are available for charging electronic devices.
20,3,TRUE,Food and drink are permitted or available in this space.
20,4,FALSE,No kettle is provided in this space.
20,5,FALSE,No microwave is available in this space.
20,6,TRUE,Toilet facilities are available nearby or within this space.
20,7,TRUE,An accessible toilet is available for wheelchair users.
20,8,TRUE,The space has wheelchair-accessible access from outside the building.
20,9,TRUE,Step-free access is available throughout the space.
20,10,FALSE,No accessible parking is available nearby.
21,1,TRUE,Seating is available for users within this space.
21,2,TRUE,Power sockets are available for charging electronic devices.
21,3,FALSE,Food and drink facilities are not available in this space.
21,4,FALSE,No kettle is provided in this space.
21,5,FALSE,No microwave is available in this space.
21,6,TRUE,Toilet facilities are available nearby or within this space.
21,7,TRUE,An accessible toilet is available for wheelchair users.
21,8,TRUE,The space has wheelchair-accessible access from outside the building.
21,9,TRUE,Step-free access is available throughout the space.
21,10,TRUE,Accessible parking spaces are available nearby.
22,1,TRUE,Seating is available for users within this space.
22,2,TRUE,Power sockets are available for charging electronic devices.
22,3,TRUE,Food and drink are permitted or available in this space.
22,4,TRUE,A kettle is provided for preparing hot drinks.
22,5,FALSE,No microwave is available in this space.
22,6,TRUE,Toilet facilities are available nearby or within this space.
22,7,TRUE,An accessible toilet is available for wheelchair users.
22,8,TRUE,The space has wheelchair-accessible access from outside the building.
22,9,TRUE,Step-free access is available throughout the space.
22,10,TRUE,Accessible parking spaces are available nearby.
23,1,TRUE,Seating is available for users within this space.
23,2,FALSE,No power sockets are available in this space.
23,3,FALSE,Food and drink facilities are not available in this space.
23,4,FALSE,No kettle is provided in this space.
23,5,FALSE,No microwave is available in this space.
23,6,TRUE,Toilet facilities are available nearby or within this space.
23,7,TRUE,An accessible toilet is available for wheelchair users.
23,8,TRUE,The space has wheelchair-accessible access from outside the building.
23,9,FALSE,Step-free access is not available throughout the space.
23,10,FALSE,No accessible parking is available nearby.
24,1,TRUE,Seating is available for users within this space.
24,2,FALSE,No power sockets are available in this space.
24,3,FALSE,Food and drink facilities are not available in this space.
24,4,FALSE,No kettle is provided in this space.
24,5,FALSE,No microwave is available in this space.
24,6,TRUE,Toilet facilities are available nearby or within this space.
24,7,TRUE,An accessible toilet is available for wheelchair users.
24,8,TRUE,The space has wheelchair-accessible access from outside the building.
24,9,FALSE,Step-free access is not available throughout the space.
24,10,FALSE,No accessible parking is available nearby.
25,1,TRUE,Seating is available for users within this space.
25,2,FALSE,No power sockets are available in this space.
25,3,FALSE,Food and drink facilities are not available in this space.
25,4,FALSE,No kettle is provided in this space.
25,5,FALSE,No microwave is available in this space.
25,6,FALSE,No toilet facilities are available within this space.
25,7,FALSE,No accessible toilet is available.
25,8,TRUE,The space has wheelchair-accessible access from outside the building.
25,9,FALSE,Step-free access is not available throughout the space.
25,10,TRUE,Accessible parking spaces are available nearby.
26,1,TRUE,Food and drink are permitted or available in this space.
26,2,FALSE,No kettle is provided in this space.
26,3,FALSE,No microwave is available in this space.
26,4,FALSE,No Toilet facilities are available nearby or within this space.
26,5,FALSE,No accessible toilet is available for wheelchair users.
26,6,FALSE,The space hasn’t  wheelchair-accessible access from outside the garden.
26,7,FALSE,No Step-free access is available throughout the space.
26,8,FALSE,No accessible parking is available nearby.
